Entry,Entry name,Status,Protein names,Gene names,Organism,Length,EC number,Function [CC],Enzyme regulation
H6C7B8,H6C7B8_EXODN,unreviewed,Symplekin,HMPREF1120_07599,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),760,,,
H6C933,H6C933_EXODN,unreviewed,Ethanolaminephosphotransferase,HMPREF1120_08563,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),866,,,
H6BW82,H6BW82_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03332,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),552,,,
H6C2Z3,H6C2Z3_EXODN,unreviewed,Elongation factor EF-1 alpha subunit,HMPREF1120_06026,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),892,,,
H6C2A0,H6C2A0_EXODN,unreviewed,Gly-Xaa carboxypeptidase,HMPREF1120_05895,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),523,,,
H6BWN5,H6BWN5_EXODN,unreviewed,Formamidopyrimidine-DNA glycosylase,HMPREF1120_04196,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),447,,,
H6C9J9,H6C9J9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07886,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),324,,,
H6BQP7,H6BQP7_EXODN,unreviewed,Extracellular dihydrogeodin oxidase/laccase,HMPREF1120_02754,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),418,,,
H6C3I6,H6C3I6_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06213,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),769,,,
H6C3N4,H6C3N4_EXODN,unreviewed,ATP-dependent RNA helicase,HMPREF1120_06261,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),524,,,
H6BLA7,H6BLA7_EXODN,unreviewed,AAA family ATPase,HMPREF1120_00078,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),759,,,
H6BUS6,H6BUS6_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03887,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),419,,,
H6C0K6,H6C0K6_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05293,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),150,,,
H6C629,H6C629_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07174,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),664,,,
H6CB49,H6CB49_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08936,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),545,,,
H6BMT9,H6BMT9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00334,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),206,,,
H6BSS3,H6BSS3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02399,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),585,,,
H6C1G4,H6C1G4_EXODN,unreviewed,Rab family; other; variant,HMPREF1120_05774,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),344,,,
H6C1V9,H6C1V9_EXODN,unreviewed,Ribosome biogenesis protein TSR3,TSR3 HMPREF1120_06650,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),398,,FUNCTION: Ribosome biogenesis protein required for processing 35S pre-rRNA at site D. {ECO:0000256|HAMAP-Rule:MF_03146}.,
H6C761,H6C761_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07545,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),306,,,
H6C907,H6C907_EXODN,unreviewed,Aspartate aminotransferase (EC 2.6.1.1),HMPREF1120_08539,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),417,2.6.1.1,,
H6BR23,H6BR23_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02825,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),213,,,
H6C449,H6C449_EXODN,unreviewed,CBS domain-containing membrane protein,HMPREF1120_05604,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),346,,,
H6CAA7,H6CAA7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08043,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),392,,,
H6BRL7,H6BRL7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02911,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),134,,,
H6BZI1,H6BZI1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05095,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),972,,,
H6C1S9,H6C1S9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05832,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),369,,,
H6BUF4,H6BUF4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03821,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),98,,,
H6C047,H6C047_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04413,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),86,,,
H6C766,H6C766_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07550,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),274,,,
H6BST2,H6BST2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02407,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),106,,,
H6C5A2,H6C5A2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06951,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),487,,,
H6BM04,H6BM04_EXODN,unreviewed,Rhomboid-like protein (EC 3.4.21.-),HMPREF1120_01142,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),524,3.4.21.-,,
H6C0Q4,H6C0Q4_EXODN,unreviewed,Ribosomal protein L28e,HMPREF1120_05339,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),152,,,
H6C3Y6,H6C3Y6_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06363,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),148,,,
H6C6F4,H6C6F4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07292,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),783,,,
H6CAG4,H6CAG4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08100,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1167,,,
H6BNF4,H6BNF4_EXODN,unreviewed,3-oxoacyl-[acyl-carrier protein] reductase,HMPREF1120_00439,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),320,,,
H6C115,H6C115_EXODN,unreviewed,Homoserine O-acetyltransferase,HMPREF1120_04567,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),354,,,
H6BPB4,H6BPB4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01758,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),377,,,
H6BUX1,H6BUX1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03100,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),210,,,
H6C0J8,H6C0J8_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04508,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),756,,,
H6C434,H6C434_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06410,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),627,,,
H6BKB3,H6BKB3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00758,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),157,,,
H6BP25,H6BP25_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01446,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),883,,,
H6BRL6,H6BRL6_EXODN,unreviewed,Gluconolactonase,HMPREF1120_02910,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),404,,,
H6C220,H6C220_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05870,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),666,,,
H6CB95,H6CB95_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08982,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),305,,,
H6BY07,H6BY07_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04704,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),71,,,
H6BKH1,H6BKH1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00816,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),498,,,
H6BL28,H6BL28_EXODN,unreviewed,Glutathione S-transferase,HMPREF1120_00984,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),361,,,
H6BM29,H6BM29_EXODN,unreviewed,Protein YIP,HMPREF1120_01166,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),289,,,
H6BP89,H6BP89_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01733,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),771,,,
H6BVV2,H6BVV2_EXODN,unreviewed,3-phytase,HMPREF1120_03260,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),546,,,
H6BZ05,H6BZ05_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04932,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),417,,,
H6C1E2,H6C1E2_EXODN,unreviewed,S25 ribosomal protein,HMPREF1120_05754,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),98,,,
H6C4V3,H6C4V3_EXODN,unreviewed,NADH dehydrogenase,HMPREF1120_06540,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),119,,,
H6C7L5,H6C7L5_EXODN,unreviewed,Acetolactate synthase I/II/III large subunit,HMPREF1120_06847,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),602,,,
H6BWX7,H6BWX7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04230,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),148,,,
H6BP96,H6BP96_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01740,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),396,,,
H6BS07,H6BS07_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02239,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),107,,,
H6BYA7,H6BYA7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04750,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),550,,,
H6C413,H6C413_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06389,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),512,,,
H6C6P4,H6C6P4_EXODN,unreviewed,Molecular chaperone HtpG,HMPREF1120_07380,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),700,,,
H6BUD4,H6BUD4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03026,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),192,,,
H6BRX9,H6BRX9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02971,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),153,,,
H6BMY8,H6BMY8_EXODN,unreviewed,NADH dehydrogenase (Ubiquinone) Fe-S protein 4,HMPREF1120_01311,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),230,,,
H6BS00,H6BS00_EXODN,unreviewed,Cytochrome P450 monooxygenase,HMPREF1120_02991,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),511,,,
H6BUN9,H6BUN9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03073,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),266,,,
H6BZ13,H6BZ13_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04940,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),426,,,
H6C8R0,H6C8R0_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08445,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1055,,,
H6BLF2,H6BLF2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01052,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1794,,,
H6BVL1,H6BVL1_EXODN,unreviewed,GMP synthase (Glutamine-hydrolysing),HMPREF1120_03226,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),255,,,
H6BXM1,H6BXM1_EXODN,unreviewed,Phosphatidylinositol glycan; class A,HMPREF1120_04626,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),500,,,
H6C1S3,H6C1S3_EXODN,unreviewed,Microsomal epoxide hydrolase,HMPREF1120_05826,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),267,,,
H6C8V8,H6C8V8_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08491,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),623,,,
H6BSN0,H6BSN0_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01576,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),100,,,
H6BYU3,H6BYU3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04873,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),76,,,
H6C7E8,H6C7E8_EXODN,unreviewed,NuA3 HAT complex component NTO1,HMPREF1120_07629,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1131,,,
H6BRD9,H6BRD9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02885,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),105,,,
H6BUK0,H6BUK0_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03037,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),425,,,
H6C271,H6C271_EXODN,unreviewed,DNA-repair protein XRCC2,HMPREF1120_06707,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),507,,,
H6C6D4,H6C6D4_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07272,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),767,,,
H6C8K9,H6C8K9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08398,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),216,,,
H6C1L5,H6C1L5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06613,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),626,,,
H6C7V3,H6C7V3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07728,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1258,,,
H6BXN3,H6BXN3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04638,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),493,,,
H6BWI7,H6BWI7_EXODN,unreviewed,Cytochrome P450,HMPREF1120_03378,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),537,,,
H6C037,H6C037_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05234,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),355,,,
H6C373,H6C373_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06106,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),730,,,
H6C489,H6C489_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06435,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),479,,,
H6C4Q9,H6C4Q9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05707,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),125,,,
H6BY49,H6BY49_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05518,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),102,,,
H6C209,H6C209_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05859,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),231,,,
H6BKD2,H6BKD2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00777,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),326,,,
H6BU69,H6BU69_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03776,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),716,,,
H6BVC4,H6BVC4_EXODN,unreviewed,Cyclohexanone monooxygenase,HMPREF1120_03970,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),623,,,
H6BKV9,H6BKV9_EXODN,unreviewed,Non-specific serine/threonine protein kinase,HMPREF1120_00952,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),401,,,
H6BSC6,H6BSC6_EXODN,unreviewed,MFS transporter; DHA1 family; multidrug resistance protein,HMPREF1120_01526,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),525,,,
H6BU32,H6BU32_EXODN,unreviewed,5-oxoprolinase (ATP-hydrolysing),HMPREF1120_03739,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1301,,,
H6BU94,H6BU94_EXODN,unreviewed,CPA1 family monovalent cation:H+ antiporter,HMPREF1120_03798,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),475,,,
H6BUH9,H6BUH9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03846,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1077,,,
H6BWU9,H6BWU9_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03432,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),204,,,
H6BY41,H6BY41_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05510,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),696,,,
H6C5C2,H6C5C2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06970,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),714,,,
H6BV79,H6BV79_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03151,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),614,,,
H6BYE1,H6BYE1_EXODN,unreviewed,Seryl-tRNA synthetase,HMPREF1120_05553,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),487,,,
H6BKQ2,H6BKQ2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00895,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),132,,,
H6BMM8,H6BMM8_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01256,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),693,,,
H6BQA0,H6BQA0_EXODN,unreviewed,Alcohol dehydrogenase,HMPREF1120_01954,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),372,,,
H6BQS6,H6BQS6_EXODN,unreviewed,Retrograde regulation protein 2,HMPREF1120_02783,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),495,,,
H6BQW0,H6BQW0_EXODN,unreviewed,Mitochondrial chaperone BCS1,HMPREF1120_02053,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),525,,,
H6BTL7,H6BTL7_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_03578,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),117,,,
H6BX98,H6BX98_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04292,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),282,,,
H6C0U2,H6C0U2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04548,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),541,,,
H6C350,H6C350_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06083,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1285,,,
H6C3F5,H6C3F5_EXODN,unreviewed,[methionine synthase] reductase,HMPREF1120_06184,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),644,,,
H6C597,H6C597_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_06946,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),139,,,
H6CAQ6,H6CAQ6_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08797,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),319,,,
H6BNK3,H6BNK3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01386,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),211,,,
H6BQ08,H6BQ08_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01915,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),181,,,
